Benchmark                                                Mode   Samples         Mean   Mean error    Units
c.g.a.r.RStarTree.M4.createIndex1k                      thrpt        10      608.908        1.715    ops/s
c.g.a.r.RStarTree.M4.createIndexGreek                   thrpt        10       10.698        0.037    ops/s
c.g.a.r.RStarTree.M4.deleteBatch1k                      thrpt        10      871.050        2.703    ops/s
c.g.a.r.RStarTree.M4.deleteBatchGreek                   thrpt        10       10.853        0.069    ops/s
c.g.a.r.RStarTree.M4.deleteOne1k                        thrpt        10   478271.673     2232.777    ops/s
c.g.a.r.RStarTree.M4.deleteOneGreek                     thrpt        10   463047.533     4036.076    ops/s
c.g.a.r.RStarTree.M4.insertBatch1k                      thrpt        10      817.557        3.067    ops/s
c.g.a.r.RStarTree.M4.insertBatchGreek                   thrpt        10       13.758        0.675    ops/s
c.g.a.r.RStarTree.M4.insertOne1k                        thrpt        10   748205.473     4871.341    ops/s
c.g.a.r.RStarTree.M4.insertOneGreek                     thrpt        10   307131.953      968.768    ops/s
c.g.a.r.RStarTree.M4.searchNearest1k                    thrpt        10  2057648.487     7317.197    ops/s
c.g.a.r.RStarTree.M4.searchNearestGreek                 thrpt        10    15561.808       57.787    ops/s
c.g.a.r.RStarTree.M4.searchOne1k                        thrpt        10  1698568.995     4163.696    ops/s
c.g.a.r.RStarTree.M4.searchOneBackpressure1k            thrpt        10   269511.908      774.639    ops/s
c.g.a.r.RStarTree.M4.searchOneBackpressureGreek         thrpt        10   322781.780     1986.521    ops/s
c.g.a.r.RStarTree.M4.searchOneGreek                     thrpt        10  1229505.803     4024.594    ops/s
c.g.a.r.STRFullRTree.M10.createIndex1k                  thrpt        10     6112.245       18.041    ops/s
c.g.a.r.STRFullRTree.M10.createIndexGreek               thrpt        10      163.512        0.348    ops/s
c.g.a.r.STRFullRTree.M10.deleteBatch1k                  thrpt        10      723.605        2.529    ops/s
c.g.a.r.STRFullRTree.M10.deleteBatchGreek               thrpt        10       13.993        0.049    ops/s
c.g.a.r.STRFullRTree.M10.deleteOne1k                    thrpt        10  1493910.237     4338.617    ops/s
c.g.a.r.STRFullRTree.M10.deleteOneGreek                 thrpt        10   718982.422     4917.254    ops/s
c.g.a.r.STRFullRTree.M10.insertBatch1k                  thrpt        10      537.743        1.914    ops/s
c.g.a.r.STRFullRTree.M10.insertBatchGreek               thrpt        10       11.050        0.029    ops/s
c.g.a.r.STRFullRTree.M10.insertOne1k                    thrpt        10    97279.485      424.280    ops/s
c.g.a.r.STRFullRTree.M10.insertOneGreek                 thrpt        10    43562.785      112.622    ops/s
c.g.a.r.STRFullRTree.M10.searchNearest1k                thrpt        10  2040717.552     4669.559    ops/s
c.g.a.r.STRFullRTree.M10.searchNearestGreek             thrpt        10    18899.825       86.575    ops/s
c.g.a.r.STRFullRTree.M10.searchOne1k                    thrpt        10  1566622.443     9201.506    ops/s
c.g.a.r.STRFullRTree.M10.searchOneBackpressure1k        thrpt        10   296222.187     2807.887    ops/s
c.g.a.r.STRFullRTree.M10.searchOneBackpressureGreek     thrpt        10   213113.043     1785.226    ops/s
c.g.a.r.STRFullRTree.M10.searchOneGreek                 thrpt        10  1211679.030     2007.242    ops/s
c.g.a.r.STRFullRTree.M128.createIndex1k                 thrpt        10     6475.483       17.001    ops/s
c.g.a.r.STRFullRTree.M128.createIndexGreek              thrpt        10      185.305        0.462    ops/s
c.g.a.r.STRFullRTree.M128.deleteBatch1k                 thrpt        10      481.555        2.085    ops/s
c.g.a.r.STRFullRTree.M128.deleteBatchGreek              thrpt        10        2.315        0.008    ops/s
c.g.a.r.STRFullRTree.M128.deleteOne1k                   thrpt        10   584323.735     1556.585    ops/s
c.g.a.r.STRFullRTree.M128.deleteOneGreek                thrpt        10   235103.175      755.759    ops/s
c.g.a.r.STRFullRTree.M128.insertBatch1k                 thrpt        10      494.937        1.263    ops/s
c.g.a.r.STRFullRTree.M128.insertBatchGreek              thrpt        10        0.450        0.000    ops/s
c.g.a.r.STRFullRTree.M128.insertOne1k                   thrpt        10     6518.873       26.413    ops/s
c.g.a.r.STRFullRTree.M128.insertOneGreek                thrpt        10     1636.708        2.833    ops/s
c.g.a.r.STRFullRTree.M128.searchNearest1k               thrpt        10   637463.908     3414.808    ops/s
c.g.a.r.STRFullRTree.M128.searchNearestGreek            thrpt        10    15465.237       66.446    ops/s
c.g.a.r.STRFullRTree.M128.searchOne1k                   thrpt        10   659508.197     1471.845    ops/s
c.g.a.r.STRFullRTree.M128.searchOneBackpressure1k       thrpt        10    82068.638      712.262    ops/s
c.g.a.r.STRFullRTree.M128.searchOneBackpressureGreek    thrpt        10    74989.082      805.592    ops/s
c.g.a.r.STRFullRTree.M128.searchOneGreek                thrpt        10   489027.343      800.483    ops/s
c.g.a.r.STRFullRTree.M32.createIndex1k                  thrpt        10     7269.938       19.085    ops/s
c.g.a.r.STRFullRTree.M32.createIndexGreek               thrpt        10      201.143        0.525    ops/s
c.g.a.r.STRFullRTree.M32.deleteBatch1k                  thrpt        10      460.117        6.877    ops/s
c.g.a.r.STRFullRTree.M32.deleteBatchGreek               thrpt        10        8.728        0.021    ops/s
c.g.a.r.STRFullRTree.M32.deleteOne1k                    thrpt        10  1449276.380     4211.786    ops/s
c.g.a.r.STRFullRTree.M32.deleteOneGreek                 thrpt        10   555204.433     1626.659    ops/s
